,соотношение матрица-наполнитель,"плотность, кг/м3","модуль упругости, гпа","количество отвердителя, м.%","содержание эпоксидных групп,%_2","температура вспышки, с_2","поверхностная плотность, г/м2","модуль упругости при растяжении, гпа","прочность при растяжении, мпа","потребление смолы, г/м2","угол нашивки, град",шаг нашивки,плотность нашивки
42,0.1575026624939175,0.5304644943375099,0.8519042265897029,0.6445538660758137,0.4625728425015725,0.5301456224168986,0.12355056355810837,0.5753717948412307,0.5233743203964384,0.5592442247603805,0.0,0.6505589457266567,0.7603629761119787
43,0.33294262240271155,0.5353379038132742,0.48931136269044484,0.3941082859230261,0.2767159223303648,0.12639660614502946,0.15096057252410897,0.6799681108174171,0.4957833421379131,0.76607004112708,0.0,0.27083238844379687,0.5179904477886513
44,0.7553518439642468,0.5497663889430457,0.7573259247993601,0.5461580785970201,0.44326738359564466,0.6839388391674748,0.584514890020594,0.3027100148382589,0.22360162891038315,0.4272576605346342,0.0,0.6613274803995761,0.29094211155786787
45,0.5266560506238069,0.5377533038898523,0.24257599168937835,0.5172628729425848,0.2786455523855973,0.7589542784554646,0.2722893500905172,0.47045207737927175,0.3141303652447679,0.4841702432683702,0.0,0.45755686171828885,0.7615230589629208
46,0.7625185997150261,0.4143835809654295,0.20889763199169442,0.5120236060639851,0.2341309750130982,0.6038701571748988,0.17699098283002118,0.45488103983239814,0.34741099011302123,0.5509661220996548,0.0,0.527232314562202,0.38416621244872795
47,0.158102189741718,0.7251903908774393,0.5686786147553283,0.6821424286328015,0.5757042469735527,0.5479188712552261,0.4048930277772746,0.2414007091620487,0.5376149104224864,0.526925909659398,0.0,0.44604534481878405,0.7306111912817311
48,0.6470954154143373,0.7452885865141576,0.33389435962371217,0.5729771395192989,0.6588632406346075,0.627035250726319,0.18027347411068267,0.267833519635869,0.4389094335109026,0.6854284023758261,0.0,0.7311610678860277,0.7960142554199329
49,0.7138949692129412,0.7786162907069167,0.34900081412191664,0.4422806333827179,0.5902072467839017,0.40911959841474066,0.1545376938631522,0.6540738567359243,0.587987120106232,0.8731439308911995,0.0,0.7210702024126755,0.7441935113508197
50,0.8537465306420547,0.325548076964842,0.5170414248193121,0.4817371518312635,0.7968126670820077,0.5581999950235663,0.35965918938769,0.5926580333034259,0.5977042104466453,0.6288453779968732,0.0,0.4095926633823894,0.826909444563909
51,0.7780947682314291,0.5329172728099749,0.2900338309476895,0.33242221924778786,0.4265075557192355,0.2937652769408934,0.04625195206821313,0.38091096380089606,0.7814839962729917,0.7311618935137438,0.0,0.45399965138976073,0.08580185384779082
52,0.8223542605879426,0.6933162167376397,0.4271685176067458,0.011429910307185598,0.4928240844531835,0.2912643845781697,0.4996667084919546,0.520028999319412,0.601973781411893,0.6939136101004901,0.0,0.531064120583959,0.6188761934622896
53,0.5393158380440761,0.2871398688935187,0.5858937178886123,0.864745681817624,0.6238422122681258,0.3909918143020461,0.13347951606919262,0.35491046751984445,0.3082014060336984,0.4205096276521718,0.0,0.38111351150280054,0.6760289703736905
54,0.44667168086648934,0.71323172327281,0.1550192795242423,0.47168876699754697,0.34809379010199737,0.5872469805541607,0.3221557459999441,0.3551621448016693,0.36682456618255443,0.8150658755923443,0.0,0.1653928431246743,0.652364234286893
55,0.5513971542576958,0.49335532967918194,0.4378159205423009,0.7875679325907274,0.49101548438779874,0.6495257477988883,0.3177387221387694,0.5043581208643477,0.514563225651684,0.47912369443643177,0.0,0.49332998538279393,0.3338423141714
56,0.32524352285037517,0.6221010714120307,0.6547254622848233,0.6795250894520481,0.4375383943450093,0.8878018990087886,0.02544902996398674,0.5511523370720477,0.660102417537605,0.41599150372237226,0.0,0.4559049043598276,0.763946663767623
57,0.8910299961123107,0.3535066965020013,0.46225687865931114,0.37015800001742344,0.5264643619035116,0.6681351358425365,0.32597606608558166,0.22207279143865932,0.40995803629445093,0.8716634583608829,0.0,0.36126536265134657,0.1792043610558547
58,0.42262028538042284,0.45641133729720806,0.2472961184827508,0.3186674703421159,0.8062300503129323,0.41408870393394914,0.5200523229697387,0.28678888065795416,0.7193216164886344,0.44408336458678066,0.0,0.44934623923809863,0.06731274217623484
59,0.24289130555640367,0.5546308306435765,0.2009354831708816,0.5365594372812366,0.6610684949000047,0.594958454852567,0.1294368259941542,0.5186554886691059,0.1534865472279583,0.743494245107156,0.0,0.5655498350751015,0.46011151832193353
60,0.8111958918175805,0.6103194532037044,0.3663795947693271,0.45703676034003266,0.3833368755796396,0.232899901714408,0.5062378218670966,0.7244959928309811,0.40637127323335287,0.7366617869963306,0.0,0.9610510008048319,0.6619197863428853
61,0.6095198007802883,0.22240861122000943,0.34780418170216043,0.3403077121857962,0.5751876823787858,0.5416939715435691,0.2615154155306296,0.5068449093961558,0.7001398607589039,0.5593932075191768,0.0,0.3684047530164393,0.38736666890951543
62,0.4477995075196819,0.1556694986951932,0.7182972696564534,0.47607804186742114,0.27428548353271687,0.6821141386469773,0.057047071602235,0.3568943080033682,0.872112642544416,0.0973778836787215,0.0,0.7729411255790004,0.33822610049083046
63,0.5397029905168357,0.6836639620581195,0.3625548404739137,0.34747506683059187,0.5573132764353552,0.4899464252738863,0.2501499388575473,0.2504243245950466,0.3747681487301795,0.25236110737185924,0.0,0.34744832886467647,0.1636749141107804
64,0.6666510992573383,0.5964641534199409,0.5826081656408203,0.7659117467583119,0.08852538470141025,0.5315199793516936,0.30802545213570304,0.23016606304161602,0.03568590626767476,0.3685711231967913,0.0,0.37571263343763145,0.8881917331640047
65,0.3049964770112482,0.5935788464064116,0.02993363636035741,0.5070606424379338,0.5346613872444694,0.6299440942145689,0.6865514762822207,0.4370462581231713,0.6499746885564178,0.26378317115106686,0.0,0.539188877021544,0.5221323815548956
66,0.4177849847089061,0.38504864077606094,0.6926412983674162,0.8584051791836642,0.5301451171763043,0.6006750957988287,0.6921813014353695,0.6157269037775475,0.2804307739161205,0.23102310437393467,0.0,0.32919773444232564,0.609660823492162
67,0.762263198181547,0.7525801142870208,0.5109588427764516,0.553148687033524,0.17676011255272162,0.8139295193041884,0.31246541541154127,0.2551134943484801,0.7723826660997123,0.5292057209223537,0.0,0.3682953493696485,0.5941143457001922
68,0.3872583106761819,0.7145538073577358,0.4294710623131058,0.6725976707935197,0.4852897917106531,0.6069786757741842,0.27870521140475246,0.4093665766022241,0.6362824375023127,0.5773274996128748,0.0,0.33084346564250716,0.425816534539713
69,0.2921549528776741,0.49098310239390575,0.7582934363425443,0.3754599592094315,0.49390423929065563,0.5445806875559858,0.43706574756089994,0.22871351952415786,0.6178113925945942,0.5018406665031636,0.0,0.6723697836873239,0.21879037349897257
70,0.5073518490929362,0.4442938695066756,0.061283052200620636,0.4597527334476869,0.6186522479147547,0.6245940714815612,0.6258476507556185,0.6475216976923921,0.061490581943725364,0.8017629357088811,0.0,0.8475069851822349,0.12108771786834649
71,0.8151848443136798,0.4374961336610106,0.38575751514218154,0.5298959475488514,0.7619566534440747,0.49222617073309904,0.22624079939442007,0.7112252161728758,0.44327662663775624,0.2820948285349457,0.0,0.49708024812831764,0.37614878674590624
72,0.4928816457359092,0.3846313706885178,0.23248403095743317,0.7588423210408843,0.5153772437207012,0.6167573900651799,0.15961666004929076,0.2232032679127549,0.25405094376285775,0.2548765970860293,0.0,0.5802586915380841,0.39860229071557896
73,0.4151289103904441,0.5466781374616891,0.2828761877291733,0.481372386245635,0.7112495835132648,0.7053168933285419,0.34907815609844395,0.3880888623572094,0.30938594004770736,0.447893996922503,0.0,0.32704907632741936,0.31099839415801966
74,0.6638239366933462,0.1364787700765353,0.7950556142409009,0.5366507263841584,0.6389328012941347,0.3864841932234937,0.004208319119620765,0.5994712775133095,0.652173984020951,0.5580285607994023,0.0,0.41816985519787,0.7821957422625364
75,0.6062412014494465,0.2493132559909812,0.6838056531214098,0.7227039444312422,0.6665909590169543,0.3262557186603643,0.37863909677842944,0.37053234937006874,0.3116007523899319,0.3134331795814803,0.0,0.1492289426231533,0.5337430724156259
76,0.5045647512015904,0.6106693269089121,0.5876570784154234,0.42672194044211814,0.34034799521374715,0.56979295033871,0.4443905279264287,0.27613971334772724,0.6774214514088418,0.6105965535597324,0.0,0.6343882224629879,0.6730808193674324
77,0.49423873537150576,0.6235203061824448,0.16641630801566257,0.40078787671111776,0.30314271336872634,0.6020717594702418,0.7908538006692952,0.7831183388197189,0.14504970524012006,0.6013974168548527,0.0,0.4778127758652847,0.035395131467832464
78,0.820208063017857,0.6171643651881711,0.5931943257820199,0.4261424619171614,0.7561960815614579,0.5453835686859654,0.2315256702277766,0.518759510856138,0.5313854157087364,0.43496198780878614,0.0,0.345138452717914,0.7330157383964192
79,0.10425765659481828,0.4346868062614835,0.6490100662185332,0.6102208511146332,0.4260453787454146,0.8570963004082952,0.1702492051279906,0.23903725284716604,0.48642106202632573,0.36999441222964313,0.0,0.4575916854769505,0.5249449713547333
80,0.41531653261422485,0.6295011129042685,0.5329830972029439,0.6565036255603562,0.5091851619983128,0.3668064902561714,0.1491710529239731,0.4234704996894436,0.8053621202452402,0.5311103261222031,0.0,0.4056275722279363,0.9798429350693204
